"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000113196",15.0447378400913,2.52381823529961,53.7534061127813,2.255556416373e-16,5.12913529083221e-12,"ENSG00000113196","HAND1"
"ENSG00000125170",5.01723542249305,7.77397493236428,47.8180039023515,8.15741674253284e-16,8.37644628764286e-12,"ENSG00000125170","DOK4"
"ENSG00000059804",3.69235505014347,10.9489527297466,46.6421906766014,1.10507206960988e-15,8.37644628764286e-12,"ENSG00000059804","SLC2A3"
"ENSG00000115596",11.4275074079528,0.947026431056858,37.1534064732157,2.06201716203267e-14,7.79694833572305e-11,"ENSG00000115596","WNT6"
"ENSG00000006377",11.2698359337825,0.481114695513996,37.1266731926764,2.07407067632731e-14,7.79694833572305e-11,"ENSG00000006377","DLX6"
"ENSG00000108511",11.2558985339293,0.721824418524256,36.8472271837174,2.27678990792421e-14,7.79694833572305e-11,"ENSG00000108511","HOXB6"
"ENSG00000143995",10.8951539744432,0.349949751095465,36.6696216477262,2.40011602243014e-14,7.79694833572305e-11,"ENSG00000143995","MEIS1"
"ENSG00000135111",13.4404736195172,2.37412322053409,34.9151802766978,4.62409958073195e-14,1.31440030582306e-10,"ENSG00000135111","TBX3"
"ENSG00000095739",5.63348709206494,6.88391989915824,34.2069277445934,5.20481550284854e-14,1.31508338371973e-10,"ENSG00000095739","BAMBI"
"ENSG00000137273",9.91213046051534,-0.407583866201126,33.6863578417136,6.72528932040776e-14,1.52933079146072e-10,"ENSG00000137273","FOXF2"
"ENSG00000148175",4.50624183676127,6.23216553271181,32.6142310815994,9.30545672902684e-14,1.92369169107337e-10,"ENSG00000148175","STOM"
"ENSG00000152207",11.3918708518628,0.659963123746435,32.4113317448513,1.11492506784146e-13,2.11278300355957e-10,"ENSG00000152207","CYSLTR2"
"ENSG00000180447",6.17048373311279,5.32712797006638,31.8885158278437,1.24528865859725e-13,2.17829723819242e-10,"ENSG00000180447","GAS1"
"ENSG00000115738",5.68477531145359,6.25298881403887,31.6423203696874,1.36325784157134e-13,2.2143202369523e-10,"ENSG00000115738","ID2"
"ENSG00000106038",11.9261199190732,0.39378482375423,31.6047784856999,1.53777145428747e-13,2.33126152469981e-10,"ENSG00000106038","EVX1"
"ENSG00000214822",11.5704121153056,0.611454875534592,31.215482223883,1.77948536409619e-13,2.52909357372171e-10,"ENSG00000214822","KRT16P3"
"ENSG00000165556",11.764737279305,0.90080659641172,30.6852289027624,2.20665441120776e-13,2.86528870032484e-10,"ENSG00000165556","CDX2"
"ENSG00000172201",4.95580096262547,5.41319383999482,30.2833686808869,2.32866335010054e-13,2.86528870032484e-10,"ENSG00000172201","ID4"
"ENSG00000170542",5.6373207616134,7.64147311476677,30.2037973880967,2.41862697153395e-13,2.86528870032484e-10,"ENSG00000170542","SERPINB9"
"ENSG00000115414",5.10008922869253,8.32490317276821,30.0449583284741,2.5694737991588e-13,2.86528870032484e-10,"ENSG00000115414","FN1"
"ENSG00000155760",-3.54790887304668,7.56945916088428,-29.9575247456062,2.64604497391476e-13,2.86528870032484e-10,"ENSG00000155760","FZD7"
"ENSG00000103241",9.37161131463448,-1.57066444653535,29.2973726252991,3.72624123435666e-13,3.85157843951229e-10,"ENSG00000103241","FOXF1"
"ENSG00000106991",5.95051047461691,5.1704979534718,28.5717226128127,4.80916782047098e-13,4.75152426211176e-10,"ENSG00000106991","ENG"
"ENSG00000133636",6.54061615870405,5.13456983174077,28.3693600069637,5.28556073259354e-13,4.75152426211176e-10,"ENSG00000133636","NTS"
"ENSG00000143878",4.39386577430321,7.50998610088029,28.3048624815443,5.33466876330092e-13,4.75152426211176e-10,"ENSG00000143878","RHOB"
"ENSG00000111186",7.80634141653189,3.95469493745516,28.3493263770847,5.43270144304775e-13,4.75152426211176e-10,"ENSG00000111186","WNT5B"
"ENSG00000164532",10.0252530150955,-0.122823529476535,28.2291110853592,5.9611146799543e-13,4.88003177847697e-10,"ENSG00000164532","TBX20"
"ENSG00000142700",11.0119769685441,0.340714013567686,28.2551379973959,6.00883420392943e-13,4.88003177847697e-10,"ENSG00000142700","DMRTA2"
"ENSG00000146674",5.40179348828783,6.49854490330028,27.8845826351864,6.4541599368193e-13,5.05460106458102e-10,"ENSG00000146674","IGFBP3"
"ENSG00000058668",4.27663739135152,6.77136973009262,27.7219493998281,6.8872508235409e-13,5.05460106458102e-10,"ENSG00000058668","ATP2B4"
"ENSG00000168209",4.36500359343848,6.37041734811812,27.7216701458688,6.89061710650887e-13,5.05460106458102e-10,"ENSG00000168209","DDIT4"
"ENSG00000121900",7.34941242903813,4.46685800592187,27.6974172487785,7.18022461174302e-13,5.10244711471988e-10,"ENSG00000121900","TMEM54"
"ENSG00000107562",3.12738064407281,7.42486762003778,27.4863600413925,7.6301067905423e-13,5.25783722475551e-10,"ENSG00000107562","CXCL12"
"ENSG00000109436",5.845177729337,4.40988017427448,27.2855686693932,8.46463903447531e-13,5.66134975423437e-10,"ENSG00000109436","TBC1D9"
